k,inertia,silhouette_score
2,2682.8141898778113,0.15027836369500477
3,2411.957810328562,0.15359497026564803
4,2189.3511556750673,0.10319598200196967
5,2057.6382143712262,0.09378519625095959
6,1957.743396374301,0.08676253586237767
