model,split,n_samples,accuracy,balanced_accuracy,precision,recall,f1,auroc
baseline_logreg_40genes,train,70,0.9,0.8589269195189639,0.9444444444444444,0.7391304347826086,0.8292682926829268,0.9740980573543017
baseline_logreg_40genes,validation,72,0.5833333333333334,0.5874125874125874,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.6076146076146076
improved_logreg_40genes_plus_scores_age_balanced,train,70,0.8571428571428571,0.8603145235892692,0.7407407407407407,0.8695652173913043,0.8,0.9167437557816835
improved_logreg_40genes_plus_scores_age_balanced,validation,72,0.5972222222222222,0.6048951048951049,0.6666666666666666,0.5128205128205128,0.5797101449275363,0.6371406371406371
